,A* cost to goal (dependant),State,x distance,y distance
0,18.0,Start,5,2
1,12.0,LEFT,5,2
2,6.0,LEFT,5,2
3,0.0,BASH,5,2
4,-11.0,FORWARD,4,2
5,-19.0,LEFT,3,2
6,-27.0,BASH,3,2
7,-38.0,FORWARD,3,1
8,-48.0,RIGHT,3,0
9,-58.0,BASH,3,0
10,-79.0,FORWARD,2,0
11,-98.0,FORWARD,1,0
12,1.0,Goal,0,0
13,4.0,Start,1,1
14,3.0,LEFT,1,1
15,2.0,LEFT,1,1
16,1.0,FORWARD,1,1
17,-3.0,RIGHT,0,1
18,-8.0,FORWARD,0,1
19,1.0,Goal,0,0
20,13.0,Start,0,4
21,10.0,LEFT,0,4
22,7.0,BASH,0,4
23,-4.0,FORWARD,0,3
24,-18.0,BASH,0,2
25,-35.0,FORWARD,0,1
26,1.0,Goal,0,0
27,12.0,Start,2,3
28,8.0,RIGHT,2,3
29,4.0,FORWARD,2,3
30,-5.0,BASH,2,2
31,-16.0,FORWARD,2,1
32,-27.0,LEFT,2,0
33,-39.0,FORWARD,2,0
34,-52.0,FORWARD,1,0
35,1.0,Goal,0,0
36,24.0,Start,6,0
37,19.0,FORWARD,6,0
38,11.0,BASH,5,0
39,-5.0,FORWARD,4,0
40,-25.0,BASH,3,0
41,-51.0,FORWARD,2,0
42,-76.0,FORWARD,1,0
43,1.0,Goal,0,0
44,22.0,Start,1,6
45,16.0,LEFT,1,6
46,10.0,BASH,1,6
47,1.0,FORWARD,1,5
48,-9.0,FORWARD,1,4
49,-18.0,BASH,1,3
50,-36.0,FORWARD,1,2
51,-53.0,RIGHT,1,1
52,-72.0,FORWARD,1,1
53,-94.0,LEFT,0,1
54,-117.0,FORWARD,0,1
55,1.0,Goal,0,0
56,14.0,Start,3,5
57,7.0,LEFT,3,5
58,0.0,LEFT,3,5
59,-7.0,FORWARD,3,5
60,-14.0,RIGHT,2,5
61,-21.0,FORWARD,2,5
62,-28.0,FORWARD,2,4
63,-35.0,LEFT,2,3
64,-42.0,FORWARD,2,3
65,-51.0,RIGHT,1,3
66,-61.0,FORWARD,1,3
67,-73.0,LEFT,1,2
68,-86.0,FORWARD,1,2
69,-100.0,RIGHT,0,2
70,-115.0,FORWARD,0,2
71,-129.0,FORWARD,0,1
72,1.0,Goal,0,0
73,13.0,Start,3,4
74,7.0,LEFT,3,4
75,1.0,BASH,3,4
76,-10.0,FORWARD,3,3
77,-21.0,RIGHT,3,2
78,-33.0,FORWARD,3,2
79,-44.0,LEFT,2,2
80,-55.0,BASH,2,2
81,-75.0,FORWARD,2,1
82,-88.0,RIGHT,2,0
83,-101.0,FORWARD,2,0
84,-114.0,FORWARD,1,0
85,1.0,Goal,0,0
86,0.0,Start,0,1
87,0.0,RIGHT,0,1
88,0.0,FORWARD,0,1
89,1.0,Goal,0,0
90,10.0,Start,4,1
91,6.0,BASH,4,1
92,-7.0,FORWARD,3,1
93,-13.0,BASH,2,1
94,-28.0,FORWARD,1,1
95,-38.0,RIGHT,0,1
96,-49.0,FORWARD,0,1
97,1.0,Goal,0,0
98,13.0,Start,3,2
99,9.0,BASH,3,2
100,0.0,FORWARD,2,2
101,-6.0,FORWARD,1,2
102,-17.0,RIGHT,0,2
103,-30.0,BASH,0,2
104,-50.0,FORWARD,0,1
105,1.0,Goal,0,0
106,14.0,Start,4,2
107,9.0,RIGHT,4,2
108,4.0,FORWARD,4,2
109,-1.0,FORWARD,4,1
110,-8.0,RIGHT,4,0
111,-16.0,BASH,4,0
112,-32.0,FORWARD,3,0
113,-46.0,BASH,2,0
114,-62.0,FORWARD,1,0
115,1.0,Goal,0,0
116,21.0,Start,4,5
117,13.0,BASH,4,5
118,0.0,FORWARD,3,5
119,-10.0,RIGHT,2,5
120,-20.0,BASH,2,5
121,-37.0,FORWARD,2,4
122,-51.0,BASH,2,3
123,-67.0,FORWARD,2,2
124,-84.0,FORWARD,2,1
125,-103.0,LEFT,2,0
126,-123.0,BASH,2,0
127,-146.0,FORWARD,1,0
128,1.0,Goal,0,0
129,4.0,Start,3,0
130,2.0,FORWARD,3,0
131,0.0,BASH,2,0
132,-11.0,FORWARD,1,0
133,1.0,Goal,0,0
134,19.0,Start,0,7
135,13.0,LEFT,0,7
136,7.0,FORWARD,0,7
137,-1.0,BASH,0,6
138,-14.0,FORWARD,0,5
139,-25.0,BASH,0,4
140,-41.0,FORWARD,0,3
141,-61.0,BASH,0,2
142,-86.0,FORWARD,0,1
143,1.0,Goal,0,0
144,24.0,Start,2,7
145,16.0,RIGHT,2,7
146,8.0,BASH,2,7
147,-9.0,FORWARD,2,6
148,-19.0,FORWARD,2,5
149,-32.0,BASH,2,4
150,-52.0,FORWARD,2,3
151,-68.0,LEFT,2,2
152,-85.0,BASH,2,2
153,-106.0,FORWARD,1,2
154,-130.0,RIGHT,0,2
155,-155.0,FORWARD,0,2
156,-179.0,FORWARD,0,1
157,1.0,Goal,0,0
158,29.0,Start,6,3
159,21.0,FORWARD,6,3
160,11.0,LEFT,7,3
161,1.0,BASH,7,3
162,-14.0,FORWARD,7,2
163,-26.0,FORWARD,7,1
164,-41.0,LEFT,7,0
